"candidate","Party","Votes","State","const","winner"
"TALARI RAMULU","Bahujan Samaj Party",7421,"Andhra Pradesh","Nizamabad",0
"None of the Above","None of the Above",7266,"Andhra Pradesh","Nizamabad",0
"ABDUL GANI","B. C. United Front",4791,"Andhra Pradesh","Nizamabad",0
"KANDEM PRABHAKAR","Independent",3990,"Andhra Pradesh","Nizamabad",0
"BANJA VEERAPPA","Pyramid Party of India",3651,"Andhra Pradesh","Nizamabad",0
"SINGAREDDY RAVINDRA REDDY","Yuvajana Sramika Rythu Congress Party",3529,"Andhra Pradesh","Nizamabad",0
"CHIRULINGADRULA VENKATESHAM","Independent",3091,"Andhra Pradesh","Nizamabad",0
"S. CHANDRAIAH","Independent",2817,"Andhra Pradesh","Nizamabad",0
"RAPELLY SRINIVAS","Aam Aadmi Party",2621,"Andhra Pradesh","Nizamabad",0
"KOTAPATI NARSIMHAM NAIDU","Independent",2462,"Andhra Pradesh","Nizamabad",0
"SAGAR SUDDALA","Bahujan Mukti Party",1978,"Andhra Pradesh","Nizamabad",0
"ABDUL KAREEM KHAN (BABU)","Independent",1601,"Andhra Pradesh","Nizamabad",0
"B.B. PATIL","Telangana Rashtra Samithi",508661,"Andhra Pradesh","Zahirabad",1
"SURESH KUMAR SHETKAR","Indian National Congress",364030,"Andhra Pradesh","Zahirabad",0
"K.MADAN MOHAN RAO","Telugu Desam",157497,"Andhra Pradesh","Zahirabad",0
"MARRI DURGESH","Republican Party of India (A)",18027,"Andhra Pradesh","Zahirabad",0
"MAHMOOD MOHIUDDIN","Yuvajana Sramika Rythu Congress Party",12383,"Andhra Pradesh","Zahirabad",0
"None of the Above","None of the Above",11190,"Andhra Pradesh","Zahirabad",0
"SYED FEROZUDDIN","Bahujan Samaj Party",8180,"Andhra Pradesh","Zahirabad",0
"BENJAMIN RAJU","Independent",4804,"Andhra Pradesh","Zahirabad",0
"RAMA RAO","Independent",4426,"Andhra Pradesh","Zahirabad",0
"DR. SUNEEL KUMAR CHOWDHARY","Aam Aadmi Party",3285,"Andhra Pradesh","Zahirabad",0
"TANDALE AMBAJI RAO","Independent",2323,"Andhra Pradesh","Zahirabad",0
"KALVAKUNTLA CHANDRASEKHAR RAO","Telangana Rashtra Samithi",657492,"Andhra Pradesh","Medak",1
"DR.P. SHRAVAN KUMAR REDDY","Indian National Congress",260463,"Andhra Pradesh","Medak",0
"CHAGANLA NARENDRA NATH","Bharatiya Janata Party",181804,"Andhra Pradesh","Medak",0
"KUNDETI. RAVI.","Independent",33507,"Andhra Pradesh","Medak",0
"PRABHUGOUD, PULLAIAHGARI","Yuvajana Sramika Rythu Congress Party",11752,"Andhra Pradesh","Medak",0
"None of the Above","None of the Above",10781,"Andhra Pradesh","Medak",0
"KOMPELLI PRABHUDAS","Republican Party of India (A)",7599,"Andhra Pradesh","Medak",0
"Y. SHANKAR GOUD","Bahujan Samaj Party",6643,"Andhra Pradesh","Medak",0
"IQBAL ALI ZAFAR","Majlis Bachao Tahreek",5010,"Andhra Pradesh","Medak",0
"MEKA. SUBBA RAO","Independent",4441,"Andhra Pradesh","Medak",0
"BOMMA BALESHAM","Pyramid Party of India",3297,"Andhra Pradesh","Medak",0
"GAJABINKAR BANSILAL","Independent",3281,"Andhra Pradesh","Medak",0
"BALARAJU MITTAPALLY","Independent",2973,"Andhra Pradesh","Medak",0
"GURJADA BHEERAIAH YADAV","Independent",2053,"Andhra Pradesh","Medak",0
"CH.MALLA REDDY","Telugu Desam",523336,"Andhra Pradesh","Malkajgiri",1
"HANUMANTH RAO MYNAMPALLY","Telangana Rashtra Samithi",494965,"Andhra Pradesh","Malkajgiri",0
"SARVEY SATHYANARAYANA","Indian National Congress",233711,"Andhra Pradesh","Malkajgiri",0
"DR.JAYAPRAKASH  NARAYAN .N","Lok Satta Party",158243,"Andhra Pradesh","Malkajgiri",0
"V.DINESH REDDY","Yuvajana Sramika Rythu Congress Party",115170,"Andhra Pradesh","Malkajgiri",0
"DIVAKAR DHARANIKOTA SUDHAKAR","All India Majlis-E-Ittehadul Muslimeen",18543,"Andhra Pradesh","Malkajgiri",0
"PROF. K.NAGESHWAR","Independent",13236,"Andhra Pradesh","Malkajgiri",0
"None of the Above","None of the Above",8716,"Andhra Pradesh","Malkajgiri",0
"DR.N.V.SUDHA KIRAN","Aam Aadmi Party",8291,"Andhra Pradesh","Malkajgiri",0
"JAJULA BHASKAR","Shramajeevi Party",8003,"Andhra Pradesh","Malkajgiri",0
"KARUNAKAR.R","Bahujan Samaj Party",6133,"Andhra Pradesh","Malkajgiri",0
"D.BIKSHAPATHI","Independent",5717,"Andhra Pradesh","Malkajgiri",0
"BANDI SUDHAKAR","Jai Samaikyandhra Party",4094,"Andhra Pradesh","Malkajgiri",0
"ANJANEYULU.E","Independent",2677,"Andhra Pradesh","Malkajgiri",0
"KANTE SAYANNA","Independent",2262,"Andhra Pradesh","Malkajgiri",0
"SURAKANTI VENKAT REDDY","Pyramid Party of India",2049,"Andhra Pradesh","Malkajgiri",0
"DASARI BHARATH REDDY","Independent",1696,"Andhra Pradesh","Malkajgiri",0
"KOYALKAR BHOJ RAJ","Independent",1546,"Andhra Pradesh","Malkajgiri",0
"GAJABINKAR BANSILAL","Independent",1416,"Andhra Pradesh","Malkajgiri",0
"MURARI.T.N","Shivsena",1390,"Andhra Pradesh","Malkajgiri",0
"PEESARI SATISH REDDY","Independent",1325,"Andhra Pradesh","Malkajgiri",0
