"candidate","Party","Votes","State","const","winner"
"AMIT KUMAR CHOUBEY","Aam Aadmi Party",7512,"Bihar","Purvi Champaran",0
"SHATRUGHAN TIWARI","Bajjikanchal Vikas Party",4893,"Bihar","Purvi Champaran",0
"PARAS NATH PANDEY","Janvadi Party(Socialist)",3027,"Bihar","Purvi Champaran",0
"PAWAN KUMAR","Kalinga Sena",2946,"Bihar","Purvi Champaran",0
"ANIL KUMAR SINGH","Jai Maha Bharath Party",2819,"Bihar","Purvi Champaran",0
"MOQIM ANSARI","Jammu & Kashmir National Panthers Party",2811,"Bihar","Purvi Champaran",0
"MD. NASIRUDDIN","Janta Dal Rashtravadi",2607,"Bihar","Purvi Champaran",0
"RAGHUNATH GUPTA","Samajwadi Party",2459,"Bihar","Purvi Champaran",0
"RAMA DEVI","Bharatiya Janata Party",372506,"Bihar","Sheohar",1
"MD ANWARUL HAQUE","Rashtriya Janata Dal",236267,"Bihar","Sheohar",0
"SHAHID ALI KHAN","Janata Dal  (United)",79108,"Bihar","Sheohar",0
"LOVELY ANAND","Samajwadi Party",46008,"Bihar","Sheohar",0
"ANGESH KUMAR","Bahujan Samaj Party",26446,"Bihar","Sheohar",0
"LAXMAN PASWAN","Jharkhand Mukti Morcha",18681,"Bihar","Sheohar",0
"SHIVANANDAN PRASAD","Independent",12161,"Bihar","Sheohar",0
"None of the Above","None of the Above",11670,"Bihar","Sheohar",0
"SHATRUGHNA SAHU","Aam Aadmi Party",8256,"Bihar","Sheohar",0
"SANJAY PRASAD","Independent",8245,"Bihar","Sheohar",0
"RAMASHISH MAHTO","Independent",5941,"Bihar","Sheohar",0
"JATA SHANKAR AATREY","Rajnaitik Vikalp Party",4641,"Bihar","Sheohar",0
"JAGRANATH SAHANI","Sarvajan Kalyan Loktantrik Party",4399,"Bihar","Sheohar",0
"MD NASRUDDIN ANSARI","National Lokmat Party",3072,"Bihar","Sheohar",0
"RAMASHANKAR SINGH","All India Forward Bloc",2845,"Bihar","Sheohar",0
"RAM LOBHIT PASWAN","Bahujan Mukti Party",2648,"Bihar","Sheohar",0
"RAM KUMAR SHARMA","Rashtriya Lok Samta Party",411265,"Bihar","Sitamarhi",1
"SITARAM YADAV","Rashtriya Janata Dal",263300,"Bihar","Sitamarhi",0
"ARJUN RAI","Janata Dal  (United)",97188,"Bihar","Sitamarhi",0
"MAHESH NANDAN SINGH","Independent",20613,"Bihar","Sitamarhi",0
"KISHORI DAS","Aam Aadmi Party",18043,"Bihar","Sitamarhi",0
"RAJEEV RANJAN","All India Trinamool Congress",11250,"Bihar","Sitamarhi",0
"CHANDRIKA PRASAD","Independent",8846,"Bihar","Sitamarhi",0
"MAHESH KUMAR","Bahujan Samaj Party",8521,"Bihar","Sitamarhi",0
"SATYENDRA BHANDARI","Bahujan Mukti Party",7853,"Bihar","Sitamarhi",0
"MOHAMMAD FAIYAZ AHMAD","Independent",7586,"Bihar","Sitamarhi",0
"SONE LAL SAH","Independent",6115,"Bihar","Sitamarhi",0
"NARENDRA MISHRA","Independent",6078,"Bihar","Sitamarhi",0
"None of the Above","None of the Above",5949,"Bihar","Sitamarhi",0
"AJAY KUMAR","Independent",5454,"Bihar","Sitamarhi",0
"SYED ABU DOJANA","Samajwadi Party",4692,"Bihar","Sitamarhi",0
"SURENDRA KUMAR","Bajjikanchal Vikas Party",4501,"Bihar","Sitamarhi",0
"JAY KUMAR CHAUDHARY","Lok Dal",3880,"Bihar","Sitamarhi",0
"MAHENDRA PRASAD","Samajwadi Janata Party (Rashtriya)",3695,"Bihar","Sitamarhi",0
"VINOD SAH","Independent",2996,"Bihar","Sitamarhi",0
"BHARAT BHUSHAN SAHNI","Sarvajan Kalyan Loktantrik Party",2763,"Bihar","Sitamarhi",0
"HUKM DEO NARAYAN YADAV","Bharatiya Janata Party",358040,"Bihar","Madhubani",1
"ABDUL BARI SIDDIQUI","Rashtriya Janata Dal",337505,"Bihar","Madhubani",0
"PROF. GHULAM GHOUS","Janata Dal  (United)",56392,"Bihar","Madhubani",0
"KUMARI RITA","Shivsena",30942,"Bihar","Madhubani",0
"None of the Above","None of the Above",18937,"Bihar","Madhubani",0
"HARI NARAYAN YADAV","Bahujan Samaj Party",10115,"Bihar","Madhubani",0
"NEERAJ PATHAK","Aam Aadmi Party",9718,"Bihar","Madhubani",0
"ANIRUD SAHU","Samajwadi Janata Party (Rashtriya)",9474,"Bihar","Madhubani",0
"FAIZ AHMAD","Jai Prakash Janata Dal",8464,"Bihar","Madhubani",0
"VIJAY KUMAR","Independent",7453,"Bihar","Madhubani",0
"DHRUB NARAYAN KARN","Communist Party of India  (Marxist-Leninist)  (Liberation)",6750,"Bihar","Madhubani",0
"RATNESHWAR JHA","Akhil Bhartiya Mithila Party",6663,"Bihar","Madhubani",0
"BIRENDRA KUMAR CHAUDHARY","Bharatiya Janata Party",335481,"Bihar","Jhanjharpur",1
"MANGANI LAL MANDAL","Rashtriya Janata Dal",280073,"Bihar","Jhanjharpur",0
"DEVENDRA PRASAD YADAV","Janata Dal  (United)",183591,"Bihar","Jhanjharpur",0
"PAWAN KUMAR","Independent",17790,"Bihar","Jhanjharpur",0
"MANILAL SAHU","Bahujan Samaj Party",14190,"Bihar","Jhanjharpur",0
"BARUN KUMAR JHA","Independent",13833,"Bihar","Jhanjharpur",0
"CHANDRA MOHAN JHA","Independent",9823,"Bihar","Jhanjharpur",0
"TILIYA DEVI","Aam Aadmi Party",9441,"Bihar","Jhanjharpur",0
"MD. AKHTAR ALI","Jai Prakash Janata Dal",9388,"Bihar","Jhanjharpur",0
"JANAK ROY","Independent",8689,"Bihar","Jhanjharpur",0
"RAM CHANDRA SAFI","Independent",8083,"Bihar","Jhanjharpur",0
"None of the Above","None of the Above",8043,"Bihar","Jhanjharpur",0
"CHHEDI RAM","Independent",7632,"Bihar","Jhanjharpur",0
"BIPIN KUMAR JHA","Bharat Vikas Morcha",7358,"Bihar","Jhanjharpur",0
"HAIDAR","VANCHITSAMAJ INSAAF PARTY",5653,"Bihar","Jhanjharpur",0
"MD. FAIYAZ KHAN","Janta Dal Rashtravadi",5439,"Bihar","Jhanjharpur",0
"IBRAHIM ABBASI","Independent",4811,"Bihar","Jhanjharpur",0
"AWDHESH KUMAR SHINGH","Independent",4248,"Bihar","Jhanjharpur",0
"DR. BINAY KUMAR JHA","Independent",3956,"Bihar","Jhanjharpur",0
"VIGHNESH BHAGAT","Bahujan Mukti Party",3727,"Bihar","Jhanjharpur",0
"RANJEET RANJAN","Indian National Congress",332927,"Bihar","Supaul",1
"DILESHWAR KAMAIT","Janata Dal  (United)",273255,"Bihar","Supaul",0
"KAMESHWAR CHAUPAL","Bharatiya Janata Party",249693,"Bihar","Supaul",0
"None of the Above","None of the Above",21996,"Bihar","Supaul",0
"AMAN KUMAR SAMAJSEVI","Bahujan Samaj Party",21233,"Bihar","Supaul",0
"SURESH KUMAR AZAD","Jai Hind Party",14754,"Bihar","Supaul",0
"JAY NARAYAN YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",11566,"Bihar","Supaul",0
"RAMDEV SHARMA","Independent",10687,"Bihar","Supaul",0
"PARMESHWAR JHA","Aam Aadmi Party",9604,"Bihar","Supaul",0
"BINOD KUMAR SAHU","Independent",8908,"Bihar","Supaul",0
"SHAKALDEV MANDAL","Samajwadi Janata Party (Rashtriya)",5964,"Bihar","Supaul",0
"MOHAMMAD AMANULLAH","Indian Union Muslim League",5116,"Bihar","Supaul",0
"DEV NARAYAN YADAV","Bahujan Mukti Party",4825,"Bihar","Supaul",0
"TASLEEM UDDIN","Rashtriya Janata Dal",407978,"Bihar","Araria",1
"PRADEEP KUMAR SINGH","Bharatiya Janata Party",261474,"Bihar","Araria",0
"VIJAY KUMAR MANDAL","Janata Dal  (United)",221769,"Bihar","Araria",0
"ABDUL RAHMAN","Bahujan Samaj Party",17724,"Bihar","Araria",0
"None of the Above","None of the Above",16608,"Bihar","Araria",0
"PANKAJ KISHOR MANDAL","Independent",10704,"Bihar","Araria",0
"SAR WAT JAHRE ANSARI","Samajwadi Janata Party (Rashtriya)",6376,"Bihar","Araria",0
"CHANDRA BHUSHAN","Aam Aadmi Party",5685,"Bihar","Araria",0
"ALAMDAR HUSSAIN","Independent",5645,"Bihar","Araria",0
"SANJAY KUMAR RISHIDEV","Communist Party of India  (Marxist-Leninist)  (Liberation)",5292,"Bihar","Araria",0
"MD. ASLAM BEG","Janta Dal Rashtravadi",5149,"Bihar","Araria",0
"RAJESH KUMAR","Bharat Vikas Morcha",4646,"Bihar","Araria",0
"RAMANAND RISHIDEO","Lok Dal",3411,"Bihar","Araria",0
"BIDAYANAND PASWAN","Bahujan Mukti Party",3350,"Bihar","Araria",0
"MOHAMMAD ASRARUL HAQUE","Indian National Congress",493461,"Bihar","Kishanganj",1
"DR DILIP  KUMAR JAISWAL","Bharatiya Janata Party",298849,"Bihar","Kishanganj",0
"AKHTARUL IMAN","Janata Dal  (United)",55822,"Bihar","Kishanganj",0
"None of the Above","None of the Above",17206,"Bihar","Kishanganj",0
"ALIMUDDIN ANSARI","Aam Aadmi Party",15010,"Bihar","Kishanganj",0
"MD.NAUSHAD","Bahujan Samaj Party",14903,"Bihar","Kishanganj",0
"CHHOTE LAL MAHTO","Independent",11392,"Bihar","Kishanganj",0
"MANUWER ALAM","Janta Dal Rashtravadi",5714,"Bihar","Kishanganj",0
"MD. GULAB SIDDIKI","Loktantrik Janata Party (Secular)",5559,"Bihar","Kishanganj",0
"MOHAMMAD WASIQUR RAHMAN","Indian Union Muslim League",5422,"Bihar","Kishanganj",0
"CHITRANJAN SINGH","Independent",5152,"Bihar","Kishanganj",0
"TARIQ ANWAR","Nationalist Congress Party",431292,"Bihar","Katihar",1
"NIKHIL KUMAR CHOUDHARY","Bharatiya Janata Party",316552,"Bihar","Katihar",0
"DR. RAM PRAKASH MAHTO","Janata Dal  (United)",100765,"Bihar","Katihar",0
"BALESHWAR MARANDI","Jharkhand Mukti Morcha",33593,"Bihar","Katihar",0
"ASHOK KU BHAGAT","Independent",15547,"Bihar","Katihar",0
"KANHAI MANDAL","Independent",10516,"Bihar","Katihar",0
"MAHBUB ALAM","Communist Party of India  (Marxist-Leninist)  (Liberation)",9461,"Bihar","Katihar",0
"ASHOK KUMAR","Independent",9000,"Bihar","Katihar",0
"MAHAMMAD HAMID MOBARAK","All India Trinamool Congress",8392,"Bihar","Katihar",0
"NALINI MANDAL","Independent",7969,"Bihar","Katihar",0
"MD. TARIQ ANWAR","Independent",4514,"Bihar","Katihar",0
"SURESH RAY","Rashtravadi Janata Party",4450,"Bihar","Katihar",0
"BIBHAKER JHA @ VICTOR JHA","Aam Aadmi Party",4323,"Bihar","Katihar",0
"None of the Above","None of the Above",3287,"Bihar","Katihar",0
"FULMANI HEMBRAM","Bharat Vikas Morcha",3096,"Bihar","Katihar",0
"SHIVENDRA KUMAR","Bahujan Samaj Party",2685,"Bihar","Katihar",0
"SATYANARAYAN BHAGAT","Proutist Sarva Samaj",2550,"Bihar","Katihar",0
"ABDUR RAHMAN","Bharatiya Momin Front",2489,"Bihar","Katihar",0
"RAJ KUMAR MANDAL","Independent",2141,"Bihar","Katihar",0
"MAHESH MANDAL","Bahujan Mukti Party",1980,"Bihar","Katihar",0
"SANJAY SINGH","Independent",1675,"Bihar","Katihar",0
"MD. IQBAL AHMAD","Samajwadi Janata Party (Rashtriya)",1553,"Bihar","Katihar",0
"SANTOSH KUMAR","Janata Dal  (United)",418826,"Bihar","Purnia",1
"UDAY SINGH ALIAS PAPPU SINGH","Bharatiya Janata Party",302157,"Bihar","Purnia",0
"AMARNATH TIWARI","Indian National Congress",124344,"Bihar","Purnia",0
"MD SHAMSHER ALAM","Jharkhand Mukti Morcha",50446,"Bihar","Purnia",0
"NAVLESH PATHAK","Independent",18776,"Bihar","Purnia",0
"SUDEEP ROY","Aam Aadmi Party",16630,"Bihar","Purnia",0
"None of the Above","None of the Above",11982,"Bihar","Purnia",0
"RAJ KUMAR ORAON","Bahujan Samaj Party",11196,"Bihar","Purnia",0
"SANJAY SINGH","Independent",9196,"Bihar","Purnia",0
"ANIL KUMAR MAHTO","Janvadi Party(Socialist)",9162,"Bihar","Purnia",0
"KUNJ BIHARI PASWAN","Independent",8321,"Bihar","Purnia",0
"PANKAJ KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",7912,"Bihar","Purnia",0
"SYED SHAH EQBAL ALAM","Bhartiya Ekta Manch Party",6324,"Bihar","Purnia",0
"MD AKHTAR ALI","Independent",5849,"Bihar","Purnia",0
"MD SHAHID AKHTAR","Bahujan Mukti Party",5137,"Bihar","Purnia",0
"PRAMOD NARAYAN PODDAR","Bhartiya Jantantrik Janata Dal",4664,"Bihar","Purnia",0
"FAGU MARANDI","Jharkhand Disom Party",3440,"Bihar","Purnia",0
"MANSUR ALAM","Samajwadi Party",3370,"Bihar","Purnia",0
"RAJESH RANJAN @ PAPPU YADAV","Rashtriya Janata Dal",368937,"Bihar","Madhepura",1
"SHARAD YADAV","Janata Dal  (United)",312728,"Bihar","Madhepura",0
"VIJAY KUMAR SINGH","Bharatiya Janata Party",252534,"Bihar","Madhepura",0
"None of the Above","None of the Above",21924,"Bihar","Madhepura",0
"GULJAR KUMAR","Bahujan Samaj Party",18084,"Bihar","Madhepura",0
"RAJO SAH","Independent",12247,"Bihar","Madhepura",0
"MOHAMMAD ARSHAD HUSSAIN","Peace Party",9585,"Bihar","Madhepura",0
"ANWAR ALAM","Aam Aadmi Party",9538,"Bihar","Madhepura",0
"MINA DEVI","Independent",9039,"Bihar","Madhepura",0
"BHIKHA PASWAN","Bharat Vikas Morcha",6649,"Bihar","Madhepura",0
"PRASANNA KUMAR","Independent",5370,"Bihar","Madhepura",0
"SAJAN KUMAR JHA","Jai Maha Bharath Party",4396,"Bihar","Madhepura",0
"CHANDRASHEKHAR YADAV","Bahujan Mukti Party",3768,"Bihar","Madhepura",0
"KIRTI AZAD","Bharatiya Janata Party",314949,"Bihar","Darbhanga",1
"MD. ALI ASHRAF FATMI","Rashtriya Janata Dal",279906,"Bihar","Darbhanga",0
"SANJAY KUMAR JHA","Janata Dal  (United)",104494,"Bihar","Darbhanga",0
"KEDAR KU. KESHAV","Shivsena",25277,"Bihar","Darbhanga",0
"None of the Above","None of the Above",21103,"Bihar","Darbhanga",0
"PRAVIN KUMAR JHA","Independent",16125,"Bihar","Darbhanga",0
"HADAY NA. YADAV","Communist Party of India  (Marxist)",11606,"Bihar","Darbhanga",0
"KRISHNA KUMAR PASWAN","Independent",10080,"Bihar","Darbhanga",0
"COLONEL LAKSHMESHWAR MISHRA","Communist Party of India  (Marxist-Leninist)  (Liberation)",9111,"Bihar","Darbhanga",0
"DURGA NAND MAHAVIR NAYAK","Bahujan Samaj Party",8835,"Bihar","Darbhanga",0
"DR. PRABHAT RANJAN DAS","Aam Aadmi Party",7550,"Bihar","Darbhanga",0
"PRADEEP PASWAN","Independent",5963,"Bihar","Darbhanga",0
"SADRE ALAM KHAN","Akhil Bhartiya Mithila Party",4558,"Bihar","Darbhanga",0
"JAINATH","Bahujan Mukti Party",2956,"Bihar","Darbhanga",0
"BRAHMADEO PRASAD KARYEE","Bajjikanchal Vikas Party",2929,"Bihar","Darbhanga",0
"FAISAL AHMAD","Janta Dal Rashtravadi",2900,"Bihar","Darbhanga",0
"AJAY NISHAD","Bharatiya Janata Party",469295,"Bihar","Muzaffarpur",1
"AKHILESH PD SINGH","Indian National Congress",246873,"Bihar","Muzaffarpur",0
"VIJENDRA CHAUDHARY","Janata Dal  (United)",85140,"Bihar","Muzaffarpur",0
"ASHOK KUMAR JHA","Shivsena",19945,"Bihar","Muzaffarpur",0
"RAGHVENDRA PRATAP SINGH","Rajnaitik Vikalp Party",13283,"Bihar","Muzaffarpur",0
"None of the Above","None of the Above",9690,"Bihar","Muzaffarpur",0
"NAGESHWAR PRASAD SINGH","Independent",9202,"Bihar","Muzaffarpur",0
"RAJEEV RANJAN","Bahujan Samaj Party",9069,"Bihar","Muzaffarpur",0
"SHATRUDHAN SAHNI","Communist Party of India  (Marxist-Leninist)  (Liberation)",8223,"Bihar","Muzaffarpur",0
"MAHESH RAI","Bahujan Mukti Party",7978,"Bihar","Muzaffarpur",0
"AKSHAY VERMA","Sarvajan Kalyan Loktantrik Party",7569,"Bihar","Muzaffarpur",0
"PRABHAT SUMAN","Aam Aadmi Party",6945,"Bihar","Muzaffarpur",0
"RAJESH KUMAR","All India Forward Bloc",6118,"Bihar","Muzaffarpur",0
"SURESH KUMAR","Independent",5211,"Bihar","Muzaffarpur",0
"MADHUR SHEEL","Jai Maha Bharath Party",4309,"Bihar","Muzaffarpur",0
"SHRAVAN KUMAR JHA","Independent",3746,"Bihar","Muzaffarpur",0
"ASHOK KUMAR SINGH","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",3734,"Bihar","Muzaffarpur",0
"PANKAJ KUMAR SRIVASTAVA","Jai Prakash Janata Dal",3365,"Bihar","Muzaffarpur",0
"RAVI SHANKAR PASWAN","Independent",3334,"Bihar","Muzaffarpur",0
"KAMLESH CHOUDHARY","Independent",3147,"Bihar","Muzaffarpur",0
"AJITANSH GAUR","Independent",2755,"Bihar","Muzaffarpur",0
"KUNAL PRIYADARSHI","Rashtriya Krantikari Samajwadi Party",2471,"Bihar","Muzaffarpur",0
"RUPESH KUMAR KUAR","Independent",2370,"Bihar","Muzaffarpur",0
"NAVAL KISHORE JHA","Samajwadi Janata Party (Rashtriya)",2364,"Bihar","Muzaffarpur",0
"MOHAMMAD ANWARUL HAQUE","Independent",2354,"Bihar","Muzaffarpur",0
"DEVENDRA RAKESH","Bajjikanchal Vikas Party",2299,"Bihar","Muzaffarpur",0
"NILU SINGH","Proutist Bloc, India",2271,"Bihar","Muzaffarpur",0
"MOHMMAD TAIYAB","Independent",2269,"Bihar","Muzaffarpur",0
"DEEPAK KUMAR","Independent",1809,"Bihar","Muzaffarpur",0
"MAHESH PASWAN","Independent",1749,"Bihar","Muzaffarpur",0
"RAMA KISHORE SINGH","Lok Jan Shakti Party",305450,"Bihar","Vaishali",1
"RAGHUVANSH PRASAD SINGH","Rashtriya Janata Dal",206183,"Bihar","Vaishali",0
"VIJAY KUMAR SAHNI","Janata Dal  (United)",145182,"Bihar","Vaishali",0
"ANU SHUKLA","Independent",104229,"Bihar","Vaishali",0
"SHANKAR MAHTO","Bahujan Samaj Party",23677,"Bihar","Vaishali",0
"DR. MOHAMMAD NABI HASSAN","Independent",22455,"Bihar","Vaishali",0
"BALENDRA SINGH","Independent",15178,"Bihar","Vaishali",0
"JITENDRA PRASAD","Independent",12369,"Bihar","Vaishali",0
"RANJEET KUMAR JHA","Independent",11540,"Bihar","Vaishali",0
"MD.HASIB","Rashtriya Samanta Dal",11075,"Bihar","Vaishali",0
"MOHAMMAD UMAR ANSARI","Independent",8254,"Bihar","Vaishali",0
"RAAJ MANGAL PRASAD","Aam Aadmi Party",7768,"Bihar","Vaishali",0
"RAM PUKAR RAI","Independent",7182,"Bihar","Vaishali",0
"VINOD PANDIT","Lokpriya Samaj Party",6430,"Bihar","Vaishali",0
"None of the Above","None of the Above",6060,"Bihar","Vaishali",0
"MUKESH RAM","Rashtriya Krantikari Samajwadi Party",5497,"Bihar","Vaishali",0
"RAMESHWAR SAH","Independent",5483,"Bihar","Vaishali",0
"INDRADEO ROY","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",5218,"Bihar","Vaishali",0
"PARMESHWAR RAM","Bahujan Mukti Party",4000,"Bihar","Vaishali",0
"MD. NAUSHAD","VANCHITSAMAJ INSAAF PARTY",3866,"Bihar","Vaishali",0
"JAYNARAYAN SAH","Bajjikanchal Vikas Party",3191,"Bihar","Vaishali",0
"SANDHYA DEVI","Independent",2983,"Bihar","Vaishali",0
"LALJI KUMAR RAKESH","Independent",2667,"Bihar","Vaishali",0
"JANAK RAM","Bharatiya Janata Party",478773,"Bihar","Gopalganj (SC)",1
"DR. JYOTI BHARTI","Indian National Congress",191837,"Bihar","Gopalganj (SC)",0
"ANIL KUMAR","Janata Dal  (United)",100419,"Bihar","Gopalganj (SC)",0
"None of the Above","None of the Above",17841,"Bihar","Gopalganj (SC)",0
"CHANDRADIP RAM","Bahujan Samaj Party",16751,"Bihar","Gopalganj (SC)",0
"SURENDRA RAM","Bharatiya Ekta Dal",16680,"Bihar","Gopalganj (SC)",0
"RAM KUMAR MANJHI","Independent",14162,"Bihar","Gopalganj (SC)",0
"DINANATH MANJHI","Independent",13983,"Bihar","Gopalganj (SC)",0
"JITENDRA MANJHI","Communist Party of India  (Marxist-Leninist)  (Liberation)",12423,"Bihar","Gopalganj (SC)",0
"SATEYNDRA BAITHA","Independent",9509,"Bihar","Gopalganj (SC)",0
"MUDRIKA BAITHA","Independent",8491,"Bihar","Gopalganj (SC)",0
"RAMASHANKAR RAM","Rashtriya Jan-Jagram Morcha",7147,"Bihar","Gopalganj (SC)",0
"JALESHWAR NATH RAM","Bahujan Mukti Party",6264,"Bihar","Gopalganj (SC)",0
"SURENDRA PASWAN","Rashtriya Bahujan Congress Party",4717,"Bihar","Gopalganj (SC)",0
"SUNITA KUMAR","Samajwadi Party",4586,"Bihar","Gopalganj (SC)",0
"OM PRAKASH YADAV","Bharatiya Janata Party",372670,"Bihar","Siwan",1
"HENA SHAHAB","Rashtriya Janata Dal",258823,"Bihar","Siwan",0
"AMAR NATH YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",81006,"Bihar","Siwan",0
"MANOJ KUMAR SINGH","Janata Dal  (United)",79239,"Bihar","Siwan",0
"None of the Above","None of the Above",21409,"Bihar","Siwan",0
"GANESH RAM","Bahujan Samaj Party",14584,"Bihar","Siwan",0
"RAM BINAY RAY","Bharatiya Ekta Dal",11757,"Bihar","Siwan",0
"SATYA PRAKASH PANDEY","Aam Aadmi Party",10542,"Bihar","Siwan",0
"KHALIL MIYA","Gondvana Gantantra Party",9580,"Bihar","Siwan",0
"RANJAN KUMAR","Bharat Vikas Morcha",8851,"Bihar","Siwan",0
"PARMESHWAR  MANJHI","Bahujan Mukti Party",5683,"Bihar","Siwan",0
"PARAMANAND GOND","Swatantra Samaj Party",4016,"Bihar","Siwan",0
"NARAD PNDIT","Jai Prakash Janata Dal",3250,"Bihar","Siwan",0
"NAGENDRA TIWARI","Loktantrik Janata Party (Secular)",2611,"Bihar","Siwan",0
"JANARDAN SINGH ""SIGRIWAL""","Bharatiya Janata Party",320753,"Bihar","Maharajganj",1
"PRABHU NATH SINGH","Rashtriya Janata Dal",282338,"Bihar","Maharajganj",0
"MANORANJAN SINGH","Janata Dal  (United)",149483,"Bihar","Maharajganj",0
"None of the Above","None of the Above",23404,"Bihar","Maharajganj",0
"BRINDA PATHAK","Independent",17186,"Bihar","Maharajganj",0
"UMASHANKAR TIWARI","Independent",11599,"Bihar","Maharajganj",0
"NAGENDRA PRASAD","Bahujan Samaj Party",11189,"Bihar","Maharajganj",0
"DR. GOPAL PRASAD","Independent",10602,"Bihar","Maharajganj",0
"SHIV NATH MAHTO","Independent",8874,"Bihar","Maharajganj",0
"RINA RANI","Aam Aadmi Party",6430,"Bihar","Maharajganj",0
"BYAS MANJHI","Bahujan Mukti Party",4796,"Bihar","Maharajganj",0
"RAJIV PRATAP RUDY","Bharatiya Janata Party",355120,"Bihar","Saran",1
"RABRI DEVI","Rashtriya Janata Dal",314172,"Bihar","Saran",0
"SALEEM PERWEZ","Janata Dal  (United)",107008,"Bihar","Saran",0
"None of the Above","None of the Above",19163,"Bihar","Saran",0
"BAL MUKUND CHAUHAN","Bahujan Samaj Party",15500,"Bihar","Saran",0
"LALAN PRASAD","Independent",14687,"Bihar","Saran",0
"LALU RAI","Independent",9957,"Bihar","Saran",0
"RAJESH KUMAR","Bharatiya Ekta Dal",9748,"Bihar","Saran",0
"CHANDAN KUMAR ALIAS CHANDAN GUPTA","Bihar Janta Party",6765,"Bihar","Saran",0
"PARMATMA SINGH","Aam Aadmi Party",5099,"Bihar","Saran",0
"RANJAN KUMAR","Jai Maha Bharath Party",3217,"Bihar","Saran",0
"NIRAJ RAM","Bahujan Mukti Party",2818,"Bihar","Saran",0
"RAMVILAS PASWAN","Lok Jan Shakti Party",455652,"Bihar","Hajipur (SC)",1
"SANJEEV PRASAD TONI","Indian National Congress",230152,"Bihar","Hajipur (SC)",0
"RAM SUNDAR DAS","Janata Dal  (United)",95790,"Bihar","Hajipur (SC)",0
"VIPHIYA DEVI","Independent",24399,"Bihar","Hajipur (SC)",0
"DINA NATH RAM","Independent",21045,"Bihar","Hajipur (SC)",0
"None of the Above","None of the Above",15094,"Bihar","Hajipur (SC)",0
"DHANESHWAR RAM","Bahujan Samaj Party",12688,"Bihar","Hajipur (SC)",0
"UJJAWAL KANT HUNKAR","Bharatiya Momin Front",8957,"Bihar","Hajipur (SC)",0
"UPENDER RAM","Independent",8896,"Bihar","Hajipur (SC)",0
"SURESH PASWAN","Independent",7544,"Bihar","Hajipur (SC)",0
"RAJ KR. PASWAN","Aam Aadmi Party",6344,"Bihar","Hajipur (SC)",0
"VIRCHANDRA PASWAN","Samajwadi Party",4185,"Bihar","Hajipur (SC)",0
"RINA RAGNI","Bahujan Mukti Party",3882,"Bihar","Hajipur (SC)",0
"RANDHIR KUMAR RAM","Bajjikanchal Vikas Party",3711,"Bihar","Hajipur (SC)",0
"SATYA NARAYAN PASWAN","All India Forward Bloc",3216,"Bihar","Hajipur (SC)",0
"VIDHAN CHANDRA RANA","Samajwadi Janata Party (Rashtriya)",3198,"Bihar","Hajipur (SC)",0
"NITYANAND RAI","Bharatiya Janata Party",317352,"Bihar","Ujiarpur",1
"ALOK KUMAR MEHTA","Rashtriya Janata Dal",256883,"Bihar","Ujiarpur",0
"ASHWAMEDH DEVI","Janata Dal  (United)",119669,"Bihar","Ujiarpur",0
"RAM DEO VERMA","Communist Party of India  (Marxist)",53044,"Bihar","Ujiarpur",0
"DHARMENDRA SAHANI","Bahujan Samaj Party",15198,"Bihar","Ujiarpur",0
"SHIVANI UMANI","Janta Dal Rashtravadi",12520,"Bihar","Ujiarpur",0
"JITENDRA KUMAR RAI","Shivsena",11990,"Bihar","Ujiarpur",0
"SURESH CHAUDHARI","Aam Aadmi Party",8917,"Bihar","Ujiarpur",0
"VINDESHWARI SAHNI","Proutist Sarva Samaj",7969,"Bihar","Ujiarpur",0
"MITHILESH KUMAR JHA","Jharkhand Mukti Morcha",7810,"Bihar","Ujiarpur",0
"MADHURI","Bahujan Mukti Party",7661,"Bihar","Ujiarpur",0
"PHOOL BABU SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",6967,"Bihar","Ujiarpur",0
"None of the Above","None of the Above",6171,"Bihar","Ujiarpur",0
"KISHOR KUMAR","Rashtriya Lok Samta Party",5669,"Bihar","Ujiarpur",0
"AMRENDRA KUMAR YADAV","Rashtriya Krantikari Samajwadi Party",5631,"Bihar","Ujiarpur",0
"ARJUN KUMAR SAH","Independent",4201,"Bihar","Ujiarpur",0
"PREM LATA DEVI","Jai Prakash Janata Dal",3152,"Bihar","Ujiarpur",0
"MINTU PASWAN","Independent",3098,"Bihar","Ujiarpur",0
"MD. TAHIR ARAMAN","Naya Daur Party",2536,"Bihar","Ujiarpur",0
"PRITHIVINATH PRASAD","Mahamukti Dal",2482,"Bihar","Ujiarpur",0
"RAM CHANDRA PASWAN","Lok Jan Shakti Party",270401,"Bihar","Samastipur (SC)",1
"DR. ASHOK KUMAR","Indian National Congress",263529,"Bihar","Samastipur (SC)",0
"MAHESHWAR HAZARI","Janata Dal  (United)",200124,"Bihar","Samastipur (SC)",0
"None of the Above","None of the Above",29211,"Bihar","Samastipur (SC)",0
